Metodos Ordenacao  |              Arquivo Ordenado                             |                  Arquivo em Ordem Reversa                         |                    Arquivo Randomico                            |

                   | Comp.Prog. | Comp.Equa. |  Mov.Prog | Mov.Equa. |  Tempo  |  Comp.Prog.  |  Comp.Equa.  |   Mov.Prog  |  Mov.Equa.  |  Tempo  |  Comp.Prog.  |  Comp.Equa.  |   Mov.Prog |  Mov.Equa. |  Tempo  |

   Insercao Direta |         0  |1023,000000  |        0  |3069,000000 |      4  |      523776  |262399,000000  |     524799  |525822,000000  |   2432  |      264288  |262399,000000  |    265303  |264445,000000  |   1243  |

  Insercao Binaria |     16408  |2570,547156  |        0  |3069,000000 |     20  |       15402  | 2570,547156  |     524799  |525822,000000  |   2451  |       15418  | 2570,547156  |    265530  |264445,000000  |   1240  |

           Selecao |    523776  |523776,000000  |     2046  |3069,000000 |   1068  |      523776  |523776,000000  |       2046  |525822,000000  |   1079  |      523776  |523776,000000  |      2046  |3673,616340  |   1075  |

            Bubble |      1023  |523776,000000  |        0  |  0,000000 |      4  |      523776  |523776,000000  |    1047552  |785664,000000  |   4837  |      522501  |523776,000000  |    528576  |1571328,000000  |   3485  |

             Shake |      1023  |523776,000000  |        0  |  0,000000 |      4  |      523776  |523776,000000  |    1047552  |785664,000000  |   4844  |      403481  |523776,000000  |    528576  |1571328,000000  |   3000  |

             Shell |      6144  |  0,000000  |        0  |  0,000000 |     40  |        6144  |    0,000000  |       8760  |   0,000000  |     59  |        6144  |    0,000000  |     61868  |  0,000000  |    181  |

              Heap |    523776  |  0,000000  |    18684  |  0,000000 |   1647  |      523776  |    0,000000  |      16916  |   0,000000  |   1648  |      523776  |    0,000000  |     18538  |  0,000000  |   1655  |

     Quick s/ pivo |    523776  |  0,000000  |        0  |  0,000000 |   1076  |      523776  |    0,000000  |          0  |   0,000000  |   1088  |      523776  |    0,000000  |         0  |  0,000000  |   2217  |

     Quick c/ pivo |      8204  |  0,000000  |     1024  |  0,000000 |     22  |        7190  |    0,000000  |       2048  |   0,000000  |     25  |        7735  |    0,000000  |      5724  |  0,000000  |     44  |

Merge 1 Implement |         0  |  0,000000  |     1024  |  0,000000 |      6  |           0  |    0,000000  |       1024  |   0,000000  |      6  |           0  |    0,000000  |      1024  |  0,000000  |      6  |

Merge 2 Implement |      5120  |  0,000000  |    20480  |  0,000000 |    131  |        5120  |    0,000000  |      20480  |   0,000000  |    136  |        8956  |    0,000000  |     20480  |  0,000000  |    138  |

          Counting |      1024  |  0,000000  |     6143  |  0,000000 |     37  |        1024  |    0,000000  |       6143  |   0,000000  |     36  |        1024  |    0,000000  |      8185  |  0,000000  |     48  |

            Bucket |      3328  |  0,000000  |     2052  |  0,000000 |     26  |        3328  |    0,000000  |       2052  |   0,000000  |    658  |        3303  |    0,000000  |      2052  |  0,000000  |    339  |

             Radix |      1024  |  0,000000  |    12345  |  0,000000 |     65  |        1024  |    0,000000  |      12345  |   0,000000  |     65  |        1024  |    0,000000  |     12345  |  0,000000  |     65  |

              Comb |     19168  |  0,000000  |        0  |  0,000000 |     77  |       19168  |    0,000000  |       3284  |   0,000000  |     86  |       19168  |    0,000000  |      8786  |  0,000000  |    100  |

             Gnome |      1023  |  0,000000  |        0  |  0,000000 |      4  |        2046  |    0,000000  |    1047552  |   0,000000  |   4867  |        2038  |    0,000000  |    528576  |  0,000000  |   2454  |

               Tim |     18462  |  0,000000  |    10240  |  0,000000 |     87  |       17488  |    0,000000  |    1026048  |   0,000000  |   4794  |       17656  |    0,000000  |    534774  |  0,000000  |   2499  |
